Season,Team,conference,PreRank,PostRank,Change,Status
2017,Penn State,Big Ten,6,8,-2,Properly Rated
2017,South Florida,American,19,21,-2,Properly Rated
2017,Stanford,Pac-12,14,20,-6,Overrated
2017,TCU,Big 12,,9,26,Very Underrated
2017,Tennessee,SEC,25,,-10,Overrated
2017,Texas,Big 12,23,,-12,Overrated
2017,UCF,American,,6,29,Very Underrated
2017,USC,Pac-12,4,12,-8,Overrated
2017,Virginia Tech,ACC,21,24,-3,Properly Rated
2017,Washington,Pac-12,8,16,-8,Overrated
2017,Washington State,Pac-12,24,,-11,Overrated
2017,West Virginia,Big 12,22,,-13,Overrated
2017,Wisconsin,Big Ten,9,7,2,Properly Rated
2018,Alabama,SEC,1,2,-1,Properly Rated
2018,Army,Independent,,19,16,Underrated
2018,Auburn,SEC,9,,-26,Very Overrated
2018,Boise State,Mountain West,22,23,-1,Properly Rated
2018,Cincinnati,American,,24,11,Underrated
2018,Clemson,ACC,2,1,1,Properly Rated
2018,Florida,SEC,,8,27,Very Underrated
2018,Florida State,ACC,19,,-16,Overrated
2018,Fresno State,Mountain West,,18,17,Underrated
2018,Georgia,SEC,3,7,-4,Properly Rated
2018,Iowa,Big Ten,,25,10,Underrated
2018,Kentucky,SEC,,12,23,Very Underrated
2018,LSU,SEC,25,6,19,Underrated
2018,Miami (FL),ACC,8,,-27,Very Overrated
2018,Michigan,Big Ten,14,14,0,Properly Rated
2018,Michigan State,Big Ten,11,,-24,Very Overrated
2018,Mississippi State,SEC,18,,-17,Overrated
2018,Northwestern,Big Ten,,21,14,Underrated
2018,Notre Dame,Independent,12,5,7,Underrated
2018,Ohio State,Big Ten,5,3,2,Properly Rated
2018,Oklahoma,Big 12,7,4,3,Properly Rated
2018,Oregon,Pac-12,24,,-11,Overrated
2018,Penn State,Big Ten,10,17,-7,Overrated
2018,Stanford,Pac-12,13,,-22,Very Overrated
2018,Syracuse,ACC,,15,20,Underrated
2018,TCU,Big 12,16,,-19,Overrated
2018,Texas,Big 12,23,9,14,Underrated
2018,Texas A&M,SEC,,16,19,Underrated
2018,UCF,American,21,11,10,Underrated
2018,USC,Pac-12,15,,-20,Overrated
2018,Utah State,Mountain West,,22,13,Underrated
2018,Virginia Tech,ACC,20,,-15,Overrated
2018,Washington,Pac-12,6,13,-7,Overrated
2018,Washington State,Pac-12,,10,25,Very Underrated
